company_ticker,date,closing_price
AAPL,1990-09-17,1.21
AAPL,1990-09-18,1.19
AAPL,1990-09-19,1.16
AAPL,1990-09-20,1.13
AAPL,1990-09-21,1.13
AAPL,1990-09-24,1.08
AAPL,1990-09-25,1.07
AAPL,1990-09-26,1.06
AAPL,1990-09-27,1.01
AAPL,1990-09-28,1.04
AAPL,1990-10-01,1.09
AAPL,1990-10-02,1.06
AAPL,1990-10-03,0.96
AAPL,1990-10-04,1.0
AAPL,1990-10-05,1.0
AAPL,1990-10-08,1.04
AAPL,1990-10-09,1.0
AAPL,1990-10-10,0.95
AAPL,1990-10-11,0.99
AAPL,1990-10-12,1.01
AAPL,1990-10-15,0.99
AAPL,1990-10-16,0.89
AAPL,1990-10-17,0.95
AAPL,1990-10-18,1.02
AAPL,1990-10-19,1.12
AAPL,1990-10-22,1.11
AAPL,1990-10-23,1.11
AAPL,1990-10-24,1.09
AAPL,1990-10-25,1.07
AAPL,1990-10-26,1.07
AAPL,1990-10-29,1.07
AAPL,1990-10-30,1.08
AAPL,1990-10-31,1.1
AAPL,1990-11-01,1.09
AAPL,1990-11-02,1.13
AAPL,1990-11-05,1.19
AAPL,1990-11-06,1.2
AAPL,1990-11-07,1.19
AAPL,1990-11-08,1.23
AAPL,1990-11-09,1.27
AAPL,1990-11-12,1.29
AAPL,1990-11-13,1.29
AAPL,1990-11-14,1.32
AAPL,1990-11-15,1.29
AAPL,1990-11-16,1.25
AAPL,1990-11-19,1.3
AAPL,1990-11-20,1.27
AAPL,1990-11-21,1.29
AAPL,1990-11-23,1.3
AAPL,1990-11-26,1.31
AAPL,1990-11-27,1.34
AAPL,1990-11-28,1.31
AAPL,1990-11-29,1.31
AAPL,1990-11-30,1.31
AAPL,1990-12-03,1.36
AAPL,1990-12-04,1.38
AAPL,1990-12-05,1.43
AAPL,1990-12-06,1.47
AAPL,1990-12-07,1.52
AAPL,1990-12-10,1.49
AAPL,1990-12-11,1.43
AAPL,1990-12-12,1.42
AAPL,1990-12-13,1.46
AAPL,1990-12-14,1.42
AAPL,1990-12-17,1.43
AAPL,1990-12-18,1.51
AAPL,1990-12-19,1.5
AAPL,1990-12-20,1.57
AAPL,1990-12-21,1.61
AAPL,1990-12-24,1.57
AAPL,1990-12-26,1.56
AAPL,1990-12-27,1.55
AAPL,1990-12-28,1.54
AAPL,1990-12-31,1.54
AAPL,1991-01-02,1.55
AAPL,1991-01-03,1.54
AAPL,1991-01-04,1.54
AAPL,1991-01-07,1.54
AAPL,1991-01-08,1.54
AAPL,1991-01-09,1.62
AAPL,1991-01-10,1.68
AAPL,1991-01-11,1.68
AAPL,1991-01-14,1.65
AAPL,1991-01-15,1.67
AAPL,1991-01-16,1.78
AAPL,1991-01-17,1.83
AAPL,1991-01-18,1.79
AAPL,1991-01-21,1.81
AAPL,1991-01-22,1.83
AAPL,1991-01-23,1.85
AAPL,1991-01-24,1.86
AAPL,1991-01-25,1.91
AAPL,1991-01-28,1.95
AAPL,1991-01-29,1.92
AAPL,1991-01-30,1.98
AAPL,1991-01-31,1.98
AAPL,1991-02-01,1.99
AAPL,1991-02-04,1.97
AAPL,1991-02-05,2.06
AAPL,1991-02-06,2.03
AAPL,1991-02-07,2.06
AAPL,1991-02-08,2.14
AAPL,1991-02-11,2.19
AAPL,1991-02-12,2.14
AAPL,1991-02-13,2.14
AAPL,1991-02-14,2.04
AAPL,1991-02-15,2.06
AAPL,1991-02-19,2.14
AAPL,1991-02-20,2.18
AAPL,1991-02-21,2.11
AAPL,1991-02-22,2.13
AAPL,1991-02-25,2.07
AAPL,1991-02-26,2.08
AAPL,1991-02-27,2.08
AAPL,1991-02-28,2.04
AAPL,1991-03-01,2.06
AAPL,1991-03-04,2.08
AAPL,1991-03-05,2.25
AAPL,1991-03-06,2.25
AAPL,1991-03-07,2.4
AAPL,1991-03-08,2.32
AAPL,1991-03-11,2.27
AAPL,1991-03-12,2.25
AAPL,1991-03-13,2.37
AAPL,1991-03-14,2.33
AAPL,1991-03-15,2.37
AAPL,1991-03-18,2.42
AAPL,1991-03-19,2.48
AAPL,1991-03-20,2.42
AAPL,1991-03-21,2.31
AAPL,1991-03-22,2.26
AAPL,1991-03-25,2.3
AAPL,1991-03-26,2.5
AAPL,1991-03-27,2.47
AAPL,1991-03-28,2.43
AAPL,1991-04-01,2.45
AAPL,1991-04-02,2.6
AAPL,1991-04-03,2.5
AAPL,1991-04-04,2.55
AAPL,1991-04-05,2.48
AAPL,1991-04-08,2.5
AAPL,1991-04-09,2.46
AAPL,1991-04-10,2.39
AAPL,1991-04-11,2.54
AAPL,1991-04-12,2.56
AAPL,1991-04-15,2.22
AAPL,1991-04-16,2.29
AAPL,1991-04-17,2.26
AAPL,1991-04-18,2.18
AAPL,1991-04-19,2.13
AAPL,1991-04-22,2.2
AAPL,1991-04-23,2.2
AAPL,1991-04-24,2.17
AAPL,1991-04-25,2.09
AAPL,1991-04-26,2.09
AAPL,1991-04-29,2.08
AAPL,1991-04-30,1.96
AAPL,1991-05-01,1.69
AAPL,1991-05-02,1.75
AAPL,1991-05-03,1.75
AAPL,1991-05-06,1.79
AAPL,1991-05-07,1.81
AAPL,1991-05-08,1.78
AAPL,1991-05-09,1.81
AAPL,1991-05-10,1.83
AAPL,1991-05-13,1.88
AAPL,1991-05-14,1.91
AAPL,1991-05-15,1.8
AAPL,1991-05-16,1.75
AAPL,1991-05-17,1.68
AAPL,1991-05-20,1.58
AAPL,1991-05-21,1.62
AAPL,1991-05-22,1.65
AAPL,1991-05-23,1.61
AAPL,1991-05-24,1.64
AAPL,1991-05-28,1.64
AAPL,1991-05-29,1.68
AAPL,1991-05-30,1.7
AAPL,1991-05-31,1.68
AAPL,1991-06-03,1.76
AAPL,1991-06-04,1.75
AAPL,1991-06-05,1.71
AAPL,1991-06-06,1.67
AAPL,1991-06-07,1.65
AAPL,1991-06-10,1.64
AAPL,1991-06-11,1.59
AAPL,1991-06-12,1.51
AAPL,1991-06-13,1.5
AAPL,1991-06-14,1.47
AAPL,1991-06-17,1.5
AAPL,1991-06-18,1.5
AAPL,1991-06-19,1.49
AAPL,1991-06-20,1.5
AAPL,1991-06-21,1.5
AAPL,1991-06-24,1.49
AAPL,1991-06-25,1.51
AAPL,1991-06-26,1.54
AAPL,1991-06-27,1.52
AAPL,1991-06-28,1.48
AAPL,1991-07-01,1.52
AAPL,1991-07-02,1.51
AAPL,1991-07-03,1.54
AAPL,1991-07-05,1.63
AAPL,1991-07-08,1.67
AAPL,1991-07-09,1.67
AAPL,1991-07-10,1.69
AAPL,1991-07-11,1.67
AAPL,1991-07-12,1.67
AAPL,1991-07-15,1.63
AAPL,1991-07-16,1.56
AAPL,1991-07-17,1.52
AAPL,1991-07-18,1.6
AAPL,1991-07-19,1.64
AAPL,1991-07-22,1.64
AAPL,1991-07-23,1.61
AAPL,1991-07-24,1.61
AAPL,1991-07-25,1.62
AAPL,1991-07-26,1.6
AAPL,1991-07-29,1.63
AAPL,1991-07-30,1.66
AAPL,1991-07-31,1.65
AAPL,1991-08-01,1.75
AAPL,1991-08-02,1.79
AAPL,1991-08-05,1.73
AAPL,1991-08-06,1.77
AAPL,1991-08-07,1.8
AAPL,1991-08-08,1.8
AAPL,1991-08-09,1.81
AAPL,1991-08-12,1.85
AAPL,1991-08-13,1.91
AAPL,1991-08-14,1.96
AAPL,1991-08-15,1.9
AAPL,1991-08-16,1.9
AAPL,1991-08-19,1.8
AAPL,1991-08-20,1.82
AAPL,1991-08-21,1.92
AAPL,1991-08-22,1.94
AAPL,1991-08-23,1.89
AAPL,1991-08-26,1.89
AAPL,1991-08-27,1.93
AAPL,1991-08-28,1.9
AAPL,1991-08-29,1.89
AAPL,1991-08-30,1.89
AAPL,1991-09-03,1.88
AAPL,1991-09-04,1.84
AAPL,1991-09-05,1.82
AAPL,1991-09-06,1.84
AAPL,1991-09-09,1.9
AAPL,1991-09-10,1.79
AAPL,1991-09-11,1.8
AAPL,1991-09-12,1.81
AAPL,1991-09-13,1.74
AAPL,1991-09-16,1.69
AAPL,1991-09-17,1.75
AAPL,1991-09-18,1.79
AAPL,1991-09-19,1.78
AAPL,1991-09-20,1.81
AAPL,1991-09-23,1.77
AAPL,1991-09-24,1.79
AAPL,1991-09-25,1.8
AAPL,1991-09-26,1.79
AAPL,1991-09-27,1.75
AAPL,1991-09-30,1.77
AAPL,1991-10-01,1.81
AAPL,1991-10-02,1.78
AAPL,1991-10-03,1.71
AAPL,1991-10-04,1.72
AAPL,1991-10-07,1.72
AAPL,1991-10-08,1.72
AAPL,1991-10-09,1.71
AAPL,1991-10-10,1.71
AAPL,1991-10-11,1.73
AAPL,1991-10-14,1.78
AAPL,1991-10-15,1.88
AAPL,1991-10-16,1.91
AAPL,1991-10-17,1.87
AAPL,1991-10-18,1.96
AAPL,1991-10-21,1.96
AAPL,1991-10-22,1.95
AAPL,1991-10-23,1.9
AAPL,1991-10-24,1.86
AAPL,1991-10-25,1.83
AAPL,1991-10-28,1.84
AAPL,1991-10-29,1.85
AAPL,1991-10-30,1.78
AAPL,1991-10-31,1.84
AAPL,1991-11-01,1.82
AAPL,1991-11-04,1.78
AAPL,1991-11-05,1.74
AAPL,1991-11-06,1.71
AAPL,1991-11-07,1.78
AAPL,1991-11-08,1.9
AAPL,1991-11-11,1.92
AAPL,1991-11-12,1.95
AAPL,1991-11-13,1.93
AAPL,1991-11-14,1.96
AAPL,1991-11-15,1.79
AAPL,1991-11-18,1.86
AAPL,1991-11-19,1.83
AAPL,1991-11-20,1.8
AAPL,1991-11-21,1.82
AAPL,1991-11-22,1.83
AAPL,1991-11-25,1.83
AAPL,1991-11-26,1.84
AAPL,1991-11-27,1.82
AAPL,1991-11-29,1.81
AAPL,1991-12-02,1.85
AAPL,1991-12-03,1.8
AAPL,1991-12-04,1.8
AAPL,1991-12-05,1.79
AAPL,1991-12-06,1.74
AAPL,1991-12-09,1.75
AAPL,1991-12-10,1.75
AAPL,1991-12-11,1.75
AAPL,1991-12-12,1.76
AAPL,1991-12-13,1.8
AAPL,1991-12-16,1.8
AAPL,1991-12-17,1.8
AAPL,1991-12-18,1.85
AAPL,1991-12-19,1.81
AAPL,1991-12-20,1.79
AAPL,1991-12-23,1.84
AAPL,1991-12-24,1.87
AAPL,1991-12-26,1.96
AAPL,1991-12-27,1.96
AAPL,1991-12-30,2.03
AAPL,1991-12-31,2.01
AAPL,1992-01-02,2.13
AAPL,1992-01-03,2.11
AAPL,1992-01-06,2.07
AAPL,1992-01-07,2.11
AAPL,1992-01-08,2.16
AAPL,1992-01-09,2.22
AAPL,1992-01-10,2.22
AAPL,1992-01-13,2.21
AAPL,1992-01-14,2.3
AAPL,1992-01-15,2.27
AAPL,1992-01-16,2.24
AAPL,1992-01-17,2.31
AAPL,1992-01-20,2.29
AAPL,1992-01-21,2.18
AAPL,1992-01-22,2.27
AAPL,1992-01-23,2.3
AAPL,1992-01-24,2.31
AAPL,1992-01-27,2.3
AAPL,1992-01-28,2.33
AAPL,1992-01-29,2.26
AAPL,1992-01-30,2.28
